date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2019-08-24 20:47:14,taylorswift13,,2166,5603,56531,"I scream “For whatever it’s worth, I LOVE YOU AINT THAT THE WORST THING YOU EVER HEARD?” pic.twitter.com/EWUGqWsTsM",,,,1165364970214891526,https://twitter.com/taylorswift13/status/1165364970214891526
2019-08-24 20:34:18,taylorswift13,,1912,4658,50289,"Shiny toy with a price, you know that I bought it pic.twitter.com/4QRHUx7Ob0",,,,1165361714608640000,https://twitter.com/taylorswift13/status/1165361714608640000
2019-08-24 20:26:29,taylorswift13,,1628,5415,60560,"We could follow the sparks, I’ll drive pic.twitter.com/4JMwl9Ae0K",,,,1165359745580064769,https://twitter.com/taylorswift13/status/1165359745580064769
2019-08-24 20:20:44,taylorswift13,,1446,4572,44852,Good ones never wait pic.twitter.com/cnAiFk687j,,,,1165358301086961664,https://twitter.com/taylorswift13/status/1165358301086961664
2019-08-24 20:15:21,taylorswift13,,1536,5871,58822,Who could stay? You could stay. pic.twitter.com/vkeCfulS8Q,,,,1165356943877316609,https://twitter.com/taylorswift13/status/1165356943877316609
2019-08-24 20:09:52,taylorswift13,,1478,5915,58958,"This is our place, we make the rules. pic.twitter.com/qz2DjfJwXe",,,,1165355565444489218,https://twitter.com/taylorswift13/status/1165355565444489218
2019-08-24 20:05:36,taylorswift13,,1776,4630,45859,"Fever dream high in the quiet of the night, you know that I caught it... pic.twitter.com/sOqXgcz6v5",,,,1165354492470206465,https://twitter.com/taylorswift13/status/1165354492470206465
2019-08-24 19:18:25,taylorswift13,,1725,14614,93501,I think the fishbowl scene is my favorite metaphor in the Lover video. And guys.. I’ve performed on stage with Christian Owens for years. He’s unbelievably talented and it was so amazing to have him in the Lover music video! http://ts.lnk.to/LoverMV pic.twitter.com/5Jg3EvANPQ,,,,1165342616541630464,https://twitter.com/taylorswift13/status/1165342616541630464
2019-08-24 02:09:55,taylorswift13,,2292,14331,96782,"Had to go see the mural in person and it turns out she’s GLORIOUS. Thank you @spotify, it’s been an honor revealing new lyrics with you all week : @KevinMazur @gettyimagespic.twitter.com/jbC2Ddqi6H",,@spotify @KevinMazur @gettyimagespic,,1165083784481579008,https://twitter.com/taylorswift13/status/1165083784481579008
2019-08-23 21:35:36,taylorswift13,halsey,1808,7761,64462,CONFIRMED.,,,,1165014753200287746,https://twitter.com/taylorswift13/status/1165014753200287746
2019-08-23 20:18:51,taylorswift13,TargetNews,3510,14181,113780,WHAT IS LIFE EVENhttps://twitter.com/TargetNews/status/1164902087215452160 …,,,,1164995436169629697,https://twitter.com/taylorswift13/status/1164995436169629697
2019-08-23 19:50:07,taylorswift13,,2094,17410,105183,"And I snuck in through the garden gate, every night that summer just to seal my fate // Stream Lover on @youtubemusic!pic.twitter.com/hM1b1jljTG",,@youtubemusic,,1164988205676060679,https://twitter.com/taylorswift13/status/1164988205676060679
2019-08-23 13:41:53,taylorswift13,,1932,12745,70982,Listen to “The Man” on @AppleMusic’s #NewMusicDaily playlist http://apple.co/TaylorSwiftonNMD …pic.twitter.com/Nao53qS2jK,,@AppleMusic,#NewMusicDaily,1164895535964270592,https://twitter.com/taylorswift13/status/1164895535964270592
2019-08-23 04:05:22,taylorswift13,,19151,84950,346561,"This album is very much a celebration of love, in all its complexity, coziness, and chaos. It’s the first album of mine that I’ve ever owned, and I couldn’t be more proud. I’m so excited that #Lover is out NOW: https://taylorswift.lnk.to/Lover pic.twitter.com/NMgE7LTdGZ",,,#Lover,1164750451209900032,https://twitter.com/taylorswift13/status/1164750451209900032
2019-08-23 03:31:04,taylorswift13,,4949,19271,112599,#Lover out in 30 minutes!pic.twitter.com/uxzMjfmhfG,,,#Lover,1164741819856576512,https://twitter.com/taylorswift13/status/1164741819856576512
2019-08-22 21:49:35,taylorswift13,,4598,31318,131779,"And so it goes, you two are dancing in a snow globe round and round... The Lover music video is out now! http://ts.lnk.to/LoverMv pic.twitter.com/mV0BXZ92QY",,,,1164655881499369475,https://twitter.com/taylorswift13/status/1164655881499369475
2019-08-22 15:45:38,taylorswift13,,2597,14659,87354,A fun thing is happening! Learn how to remix You Need to Calm Down in select Apple Stores at the #todayatapple Music Lab. http://apple.com/today @AppleMusicpic.twitter.com/c7zEOSJEMp,,@AppleMusicpic,#todayatapple,1164564294341681157,https://twitter.com/taylorswift13/status/1164564294341681157
2019-08-21 00:22:18,taylorswift13,,2993,14564,85184,3 days until Lover!!! Pre-add it on @AppleMusichttps://taylorswift.lnk.to/Lover/applemusic …,,@AppleMusichttps,,1163969541019447298,https://twitter.com/taylorswift13/status/1163969541019447298
2019-08-20 19:47:32,taylorswift13,,1819,8746,54589,#StellaxTaylorSwift It’s been SO fun to dream up cute stuff with @StellaMcCartney to create a line inspired by my new album. Can’t wait to show you what we've been working on at the @YouTube Live on 8/22 at 5p ET! More info at https://TaylorSwift.com + https://stell.am/33KQh6P pic.twitter.com/OWbMRrGglx,,@StellaMcCartney @YouTube,#StellaxTaylorSwift,1163900392624840711,https://twitter.com/taylorswift13/status/1163900392624840711
2019-08-20 13:30:08,taylorswift13,,2948,12898,75123,Sharing some never-before-heard lyrics from the new album every day + some of my favorite love songs on the Lover Enhanced Album playlist on @Spotify https://taylorswift.lnk.to/loverenhanced pic.twitter.com/QXbUt1lMPC,,@Spotify,,1163805418336006146,https://twitter.com/taylorswift13/status/1163805418336006146
